Date : 2025-10-19 03:57:50
Directory : /home/onetyten/Documents/Github/m_foodie_chatbot
Total : 96 files,  14139 codes, 139 comments, 522 blanks, all 14800 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/onetyten/Documents/Github/m_foodie_chatbot/controller/getSubCategory.controller.ts     | TypeScript         |         32 |          0 |          4 |         36 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/controller/order.controller.ts              | TypeScript         |         78 |          0 |         14 |         92 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/controller/seed.controller.ts               | TypeScript         |         94 |          0 |          6 |        100 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/controller/webhooks/verify.controller.ts    | TypeScript         |         24 |          0 |          4 |         28 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/json/category.json                          | JSON               |         17 |          0 |          1 |         18 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/json/customisation.json                     | JSON               |        440 |          0 |          8 |        448 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/json/food.json                              | JSON               |      1,176 |          0 |          3 |      1,179 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/json/subCategory.json                       | JSON               |         77 |          0 |          1 |         78 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/middleware/authorization.ts                 | TypeScript         |         15 |          0 |          2 |         17 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/package-lock.json                           | JSON               |      2,899 |          0 |          1 |      2,900 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/package.json                                | JSON               |         35 |          0 |          1 |         36 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/router/createUser.route.ts                  | TypeScript         |          5 |          0 |          3 |          8 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/router/food/getCustomisation.route.ts       | TypeScript         |          5 |          0 |          2 |          7 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/router/food/list.route.ts                   | TypeScript         |          5 |          0 |          2 |          7 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/router/food/subcategory.route.ts            | TypeScript         |          5 |          0 |          4 |          9 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/router/order/addCart.route.ts               | TypeScript         |          5 |          0 |          3 |          8 |
| /home/onetyten/Documents/Github/m_foodie_chatbot/router/order/createorder.route.ts           | TypeScript         |          5 |          0 |          3 |          8 |
